distance,X,Y,Z,V,max,may,maz,mav
137.319,-0.363919,-3.093309,-7.101202,7.754229,-0.553,-3.14,-7.824,8.455
137.339,-0.986411,-3.581726,-10.050858,10.715481,-0.578,-3.13,-7.995,8.614
137.359,-0.90022,-4.750096,-10.031705,11.135929,-0.709,-3.508,-8.68,9.4
137.379,-0.162806,-4.932055,-9.955091,11.111053,-0.603,-4.089,-9.285,10.179
137.399,-0.162806,-4.314352,-9.44752,10.387289,-0.553,-4.395,-9.871,10.837
137.419,-0.292093,-4.304775,-9.093178,10.064904,-0.379,-4.575,-9.632,10.675
137.442,-0.641646,-3.356671,-9.011775,9.638,-0.315,-4.227,-9.377,10.3
137.459,-0.790087,-3.490746,-8.403648,9.134049,-0.472,-3.867,-8.989,9.806
137.479,-1.144428,-2.877831,-8.073248,8.646904,-0.717,-3.508,-8.645,9.371
137.499,-0.220267,-3.471592,-7.757214,8.501461,-0.699,-3.299,-8.311,8.98
137.522,-0.545878,-3.236961,-8.552089,9.160465,-0.675,-3.269,-8.197,8.861
137.539,-0.656011,-3.983952,-10.141838,10.916002,-0.642,-3.393,-8.631,9.306
137.559,-1.043872,-4.568137,-10.376471,11.385459,-0.617,-3.815,-9.207,9.991
137.579,-0.158017,-4.271256,-9.222465,10.164765,-0.601,-4.015,-9.573,10.407
137.602,-0.383072,-3.964798,-9.045294,9.883506,-0.56,-4.197,-9.696,10.587
137.619,-0.201113,-3.552995,-8.499416,9.214353,-0.447,-4.089,-9.286,10.162
137.639,-0.416591,-3.308787,-8.820239,9.429646,-0.29,-3.774,-8.897,9.673
137.659,-0.699107,-3.20823,-8.341399,8.964398,-0.425,-3.509,-8.677,9.373
137.682,-0.35913,-3.361459,-7.838616,8.536526,-0.419,-3.358,-8.375,9.036
137.699,-0.201113,-3.720589,-8.676587,9.442796,-0.419,-3.4,-8.419,9.093
137.719,-0.746991,-3.907337,-9.26556,10.083446,-0.502,-3.549,-8.531,9.257
137.739,0.110133,-4.601655,-10.802638,11.742417,-0.299,-3.898,-9.146,9.951
137.761,-0.761356,-4.553771,-9.763555,10.800162,-0.4,-4.196,-9.627,10.517
137.779,0.143652,-3.859453,-8.580819,9.409913,-0.314,-4.231,-9.603,10.509
137.799,-0.536301,-3.050213,-8.121132,8.691616,-0.261,-4.016,-9.317,10.161
137.819,-0.339977,-3.169923,-8.192958,8.791391,-0.373,-3.658,-8.665,9.423
137.841,-1.240196,-2.719813,-9.232041,9.70392,-0.493,-3.2,-8.532,9.149
137.859,-1.043872,-3.514688,-8.925584,9.649288,-0.79,-3.114,-8.618,9.209
137.879,0.02873,-4.036624,-8.585608,9.487245,-0.649,-3.36,-8.734,9.408
137.899,0.009577,-4.007894,-8.188169,9.116437,-0.561,-3.57,-8.733,9.489
137.922,-0.047884,-3.744531,-8.810662,9.573483,-0.263,-3.826,-8.627,9.457
137.939,0.268151,-4.22816,-9.390059,10.301576,0.065,-4.004,-8.744,9.62
137.959,-0.670376,-4.089296,-9.165004,10.058282,-0.11,-4.017,-8.888,9.762
137.979,-0.521936,-3.308787,-7.694964,8.392435,-0.243,-3.843,-8.765,9.581
138.002,0.095768,-3.069367,-7.61835,8.213978,-0.207,-3.674,-8.467,9.242
138.019,-0.6608,-2.719813,-8.303091,8.762155,-0.439,-3.297,-8.195,8.857
138.039,-0.440533,-3.232172,-9.23683,9.795919,-0.382,-3.083,-8.213,8.791
138.058,-0.794875,-4.01747,-9.275137,10.139037,-0.45,-3.26,-8.608,9.228
138.079,-0.23942,-3.830723,-8.058883,8.926217,-0.534,-3.45,-8.718,9.406
138.099,-0.02873,-4.453215,-8.259995,9.384001,-0.376,-3.883,-8.708,9.561
138.119,0.435745,-5.176264,-9.160215,10.530581,-0.157,-4.369,-8.689,9.745
138.139,0.177171,-5.200206,-10.553641,11.7666,0.086,-4.665,-9.008,10.152
138.162,-0.92895,-5.018247,-10.342952,11.533534,-0.086,-4.962,-9.579,10.804
138.179,0.430956,-3.797204,-8.48984,9.310309,0.029,-4.798,-9.637,10.785
138.199,-0.071826,-2.954445,-7.809886,8.350343,-0.098,-4.243,-9.299,10.24
138.219,-0.565032,-2.604892,-8.269572,8.68853,-0.284,-3.594,-8.728,9.471
138.242,-1.335965,-3.08852,-9.629479,10.200521,-0.385,-3.111,-8.55,9.137
138.259,-1.010353,-3.567361,-9.878476,10.551358,-0.746,-3.054,-8.897,9.448
138.279,-1.446098,-4.113238,-9.753978,10.684101,-1.089,-3.343,-9.383,10.031
138.299,0.038307,-4.548983,-9.844957,10.845179,-0.939,-3.83,-9.777,10.57
138.322,0.086191,-4.381389,-8.987833,9.999257,-0.583,-4.153,-9.616,10.52
138.339,-0.225055,-3.696647,-8.920795,9.659008,-0.387,-4.185,-9.377,10.297
138.359,-0.80924,-3.543418,-7.781156,8.588193,-0.227,-4.043,-8.884,9.773
138.379,-0.627281,-3.002329,-7.49864,8.10167,-0.394,-3.656,-8.297,9.087
138.402,-0.373495,-3.117251,-7.034164,7.703001,-0.509,-3.34,-7.809,8.513
138.419,-0.641646,-3.189077,-8.207323,8.828481,-0.613,-3.213,-7.63,8.305
138.439,-0.316035,-3.428497,-8.212111,8.904675,-0.49,-3.184,-7.738,8.384
138.459,-0.617704,-3.763685,-8.633492,9.438435,-0.487,-3.375,-8.022,8.719
138.481,-0.062249,-3.931279,-7.771579,8.70955,-0.409,-3.578,-8.206,8.97
138.499,0.196325,-4.390966,-7.967903,9.099814,-0.2,-3.879,-8.146,9.038
138.519,0.244209,-4.52983,-9.404425,10.44137,-0.06,-4.154,-8.444,9.422
138.539,-0.871489,-5.085284,-10.400413,11.609832,-0.123,-4.484,-8.886,9.965
